epsilon,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
55.55555555555554,0.8181818181818182,22.930224346904986,4.953454210710165e-05,4.950579901433933e-05,0.004014694152247803,0.0024767271053550825,0.6169155137181193,0.00113649763166794,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.8181818181818182,42.94084325629065,5.371562714887453e-06,5.371224571650062e-06,0.0005547245437728392,0.00026857813574437267,0.4841648684186506,0.0002306739536511826,0.105,500,300,50,0.1,0.105,10,1
100.0,0.8181818181818182,62.943118106341096,5.821479684729089e-07,5.821439966863026e-07,7.305539639660155e-05,2.9107398423645446e-05,0.39842913541427977,3.6642458333295944e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,0.9090909090909092,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,0.9090909090909092,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,0.9090909090909092,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,0.9090909090909092,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,0.9090909090909092,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,0.9090909090909092,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,0.9090909090909092,3.2980909524744284,0.00048289333798986616,0.0005404585604519987,0.02840851060669227,0.02414466689949331,0.8499096356640915,0.0014229926465297376,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,0.9090909090909092,22.921448246324424,5.594814382929749e-05,5.59146732361377e-05,0.004533985920487205,0.002797407191464875,0.6169862987056378,0.0012831801369736098,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,0.9090909090909092,42.932385196566756,6.067030437344622e-06,6.06663668338172e-06,0.0006264894616629067,0.0003033515218672311,0.484208498993802,0.00026048899362938495,0.105,500,300,50,0.1,0.105,10,1
100.0,0.9090909090909092,62.93472931933322,6.575195826769077e-07,6.575149577004844e-07,8.250787462829359e-05,3.2875979133845386e-05,0.39845868387660005,4.138110803161884e-05,0.105,500,300,50,0.1,0.105,10,1
-100.0,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.77777777777777,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.55555555555556,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.33333333333334,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111111111114,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111111111114,1.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333333333314,1.0,3.2921438135631576,0.0005338230514147892,0.0005979284225670755,0.031400174756760754,0.02669115257073946,0.8500319752199023,0.0015690047103452216,0.105,500,300,50,0.1,0.105,10,1
55.55555555555554,1.0,22.913687497118733,6.187519987634846e-05,6.183786373830093e-05,0.005013783347488729,0.003093759993817423,0.6170509931122184,0.0014186450189224327,0.105,500,300,50,0.1,0.105,10,1
77.77777777777777,1.0,42.92470902627078,6.709746518907857e-06,6.709307291746627e-06,0.0006928001087132247,0.0003354873259453929,0.4842483737026424,0.0002880327718965093,0.105,500,300,50,0.1,0.105,10,1
100.0,1.0,62.9270723191052,7.271743044038092e-07,7.271691453079991e-07,9.1242211012336e-05,3.635871522019046e-05,0.3984856878936739,4.5759274690911944e-05,0.105,500,300,50,0.1,0.105,10,1
