epsilon_L,epsilon_R,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
33.333333,34.333333,0.454545,3.372497,0.000178,0.000198,0.0105,0.008909,0.848473,0.000541,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.454545,23.017582,2.1e-05,2.1e-05,0.001667,0.001027,0.616224,0.000473,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.454545,43.023827,2e-06,2e-06,0.00023,0.000111,0.483739,9.6e-05,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.454545,63.02516,0.0,0.0,3e-05,1.2e-05,0.398141,1.5e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.545455,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.545455,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.545455,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.545455,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.545455,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.545455,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.545455,3.346698,0.000238,0.000265,0.014034,0.011915,0.848978,0.000716,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.545455,22.983852,2.8e-05,2.8e-05,0.002233,0.001376,0.616492,0.000633,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.545455,42.991648,3e-06,3e-06,0.000308,0.000149,0.483904,0.000128,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.545455,62.993313,0.0,0.0,4.1e-05,1.6e-05,0.398253,2e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.636364,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.636364,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.636364,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.636364,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.636364,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.636364,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.636364,3.328872,0.0003,0.000334,0.017641,0.014983,0.849317,0.000894,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.636364,22.960907,3.5e-05,3.5e-05,0.00281,0.001733,0.616673,0.000796,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.636364,42.969974,4e-06,4e-06,0.000388,0.000188,0.484015,0.000161,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.636364,62.971913,0.0,0.0,5.1e-05,2e-05,0.398328,2.6e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.727273,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.727273,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.727273,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.727273,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.727273,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.727273,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
